keyword,lesson_count
10 less,1
10 more,1
10 p,2
10 times table,1
100s boundary,6
2 p,2
2 times table,1
2-digit number,1
24 hour clock,2
2D / two dimensional,1
2D / two-dimensional,1
3-digit number,3
3D / three-dimensional,1
5 p,3
5 times table,1
About,1
Above,1
Above/below,1
Accurate,1
Accurately,4
Acute angle,1
Add,14
Addend,18
addend,7
Addend - part,1
Addends,8
Addition,7
Additive,2
Adjacent,7
Adjacent multiple,1
Adjust,8
adjust,1
Adjustment,3
Afford,1
After,3
after,1
Afternoon,1
all of it,1
altogether,1
Altogether,7
am,3
Amount,2
Angle,7
Anticlockwise,3
Approximate,1
Arc,1
Area,9
Arrangement,2
array,2
Array,4
ascending,2
Ascending,2
associative,4
Associative,3
Associative law,2
At a point,1
Axes,1
axis,1
Axis / axes,2
Axis / Axes,1
backward,1
backwards,1
Backwards,3
Bar chart,4
bar graph,1
Bar model,7
bar model,1
Base,3
Before,2
before,3
Below,1
Between,2
between,1
Brackets,2
Bridge,3
bridge,3
Bridge / bridging,1
Bridge 10,4
Bridging,4
Bridging 10,1
Bridging 100,1
Budget,1
calculate,1
Calculate,6
Capacity,6
capacity,1
Cardinal number,1
Centimetre,4
centimetre,1
Centimetre (cm),1
Centimetres,1
Centre,1
Change,7
Check,2
Circle,2
Circular face,2
Classify,1
Clock face,1
Clockwise,3
Cm,1
Coefficient,1
Coin,1
Coins,1
Column,1
column,1
Column addition,14
column addition,3
column subtraction,2
Column subtraction,6
Combination,1
combine,1
Combine,9
Comma,2
Common,3
Common denominator,9
Common factor,6
Common factors,1
common multiple,1
Common multiple,1
commutative,6
Commutative,10
Compare,15
compare,2
Comparison,4
Compensation,1
Complement to 100,1
Compose,7
composite number,1
Composite number,1
Composition,2
Compound,7
Compound shape,2
Cone,2
Congruent,2
Consecutive,5
Constant,4
Construct,3
Continuous,1
Convert,12
convert,6
Coordinate,2
Coordinates,3
Count,7
count,1
count back,1
count on,1
Count on,1
Count out,1
Counting in Multiples,1
Counting on,2
Critical,2
cross the tens boundary,2
Cube,3
Cube number,1
Cubic centimetre,2
Cubic metre,2
Cuboid,2
Curved,1
Curved surface,1
Cylinder,2
Data,2
data,1
Day,2
Days of the week,1
Decade,2
decade number,1
Decade number,2
Decade numbers,4
Decimal,1
Decimal fraction,1
decimal number,2
Decimal number,4
Decimal numbers,1
decimal point,2
Decimetre,1
Decompose,2
Decrease,6
Deduce,1
Degree,2
Degrees,4
Denominator,34
denominator,1
Descending,2
descending,2
Diagonal,1
Difference,41
difference,7
different,1
Digit,6
Digit sum,3
Dimension,4
dimensions,1
Directions,2
Distance,1
Distributive law,11
Distributive Law,1
Divide,8
Divided,3
Dividend,23
Divisibility,1
Divisibility rules,2
Divisible,7
Divisible / divisibility,3
Divisible / Divisibility,1
Division,9
Division bar,2
Divisions,1
Divisor,28
double,1
Double,11
Double / double,1
